Compound,Date,Negative,Neutral,Positive,Tweet Count,Tweet text,User
0.42,Tue Apr 03 20:51:21 +0000 2018,0.0,0.843,0.157,89,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Tue Apr 03 20:50:48 +0000 2018,0.0,0.843,0.157,90,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Tue Apr 03 20:45:19 +0000 2018,0.0,0.843,0.157,91,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Tue Apr 03 20:42:54 +0000 2018,0.0,0.843,0.157,92,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Tue Apr 03 18:45:50 +0000 2018,0.0,0.843,0.157,93,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Tue Apr 03 17:26:52 +0000 2018,0.0,0.843,0.157,94,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Tue Apr 03 17:12:59 +0000 2018,0.0,0.843,0.157,95,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.42,Tue Apr 03 17:10:33 +0000 2018,0.0,0.843,0.157,96,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.422,Tue Apr 03 17:02:04 +0000 2018,0.0,0.882,0.118,97,"RT @ridetarc: “What we’re very conscious of is getting people access, getting people an opportunity to hold down a job,” -J. Barry Barker,…",@APTA_Transit
0.422,Tue Apr 03 17:00:03 +0000 2018,0.0,0.872,0.128,98,"“What we’re very conscious of is getting people access, getting people an opportunity to hold down a job,” -J. Barr… https://t.co/D3M0ilI7LZ",@APTA_Transit
0.42,Tue Apr 03 16:54:58 +0000 2018,0.0,0.843,0.157,99,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.0,Wed Apr 11 18:24:17 +0000 2018,0.0,1.0,0.0,0,Proefproject e-PIL: papieren bijsluiter maakt plaats voor elektronische bijsluiter https://t.co/T2TlVpigFR @FAGG_BE… https://t.co/VQmv5GY7m1,@Bart
-0.318,Wed Apr 11 07:01:07 +0000 2018,0.108,0.892,0.0,1,"Natuurlijk heeft alles zijn kanten, @Bart Fonteyne, en alle partijen in dit complexe conflict hebben boter op het h… https://t.co/nMCdDxGKJr",@Bart
0.202,Tue Apr 10 11:00:13 +0000 2018,0.0,0.795,0.205,2,in #Today's #Health... https://t.co/1LbzebTbn2 - top stories by @bart,@Bart
0.0,Tue Apr 10 10:18:42 +0000 2018,0.0,1.0,0.0,3,RT @bart: HIMSS Europe Future50 list of digital healthcare leaders revealed https://t.co/geSu2ZIRvX,@Bart
