,User,Date,Tweet text,Compound,Positive,Neutral,Negative,Tweet Count
72,@APTA_Transit,Tue Apr 10 17:25:04 +0000 2018,#mobility is here to stay. @APTA_Transit trying to turn the oldest ship in the #SmartCities fleet: Public #transit… https://t.co/gEjZ95BhrL,0.0,0.0,1.0,0.0,72
73,@APTA_Transit,Tue Apr 10 16:47:47 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,73
74,@APTA_Transit,Tue Apr 10 16:02:11 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,74
75,@APTA_Transit,Tue Apr 10 16:02:00 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,75
76,@APTA_Transit,Tue Apr 10 15:43:30 +0000 2018,RT @APTA_Transit: https://t.co/iNuedb2jYw,0.0,0.0,1.0,0.0,76
77,@APTA_Transit,Tue Apr 10 14:55:00 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,77
78,@APTA_Transit,Tue Apr 10 14:44:02 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,78
79,@APTA_Transit,Tue Apr 10 13:39:22 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,79
80,@APTA_Transit,Tue Apr 10 13:35:40 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,80
81,@APTA_Transit,Tue Apr 10 13:29:04 +0000 2018,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,0.772,0.312,0.688,0.0,81
82,@APTA_Transit,Tue Apr 10 06:18:41 +0000 2018,"RT @TheRapid: Transit-oriented development strengthens communities: https://t.co/0haDJnxXsR #Voices4Transit
@APTA_Transit https://t.co/pFzL…",0.459,0.25,0.75,0.0,82
83,@APTA_Transit,Tue Apr 10 02:53:52 +0000 2018,RT @CUTRUSF: Join us for our next CUTR Transportation Webcast:  Understanding the Effects of Demographic and Socio-Economic Factors on Publ…,0.296,0.104,0.896,0.0,83
84,@APTA_Transit,Tue Apr 10 01:36:23 +0000 2018,"RT @TheRapid: Transit-oriented development strengthens communities: https://t.co/0haDJnxXsR #Voices4Transit
@APTA_Transit https://t.co/pFzL…",0.459,0.25,0.75,0.0,84
85,@APTA_Transit,Tue Apr 10 01:36:12 +0000 2018,"RT @TheRapid: Transit-oriented development strengthens communities: https://t.co/0haDJnxXsR #Voices4Transit
@APTA_Transit https://t.co/pFzL…",0.459,0.25,0.75,0.0,85
86,@APTA_Transit,Tue Apr 10 00:56:30 +0000 2018,RT @APTA_Transit: https://t.co/iNuedb2jYw,0.0,0.0,1.0,0.0,86
87,@APTA_Transit,Mon Apr 09 23:35:06 +0000 2018,"Transit-oriented development strengthens communities: https://t.co/0haDJnxXsR #Voices4Transit
@APTA_Transit https://t.co/pFzLq8YB6M",0.459,0.3,0.7,0.0,87
88,@APTA_Transit,Mon Apr 09 23:16:36 +0000 2018,RT @APTA_Transit: https://t.co/iNuedb2jYw,0.0,0.0,1.0,0.0,88
89,@APTA_Transit,Mon Apr 09 21:29:40 +0000 2018,RT @APTA_Transit: https://t.co/iNuedb2jYw,0.0,0.0,1.0,0.0,89
90,@APTA_Transit,Mon Apr 09 21:08:15 +0000 2018,cc @narprail @ranbarton @PetraTodorovich @CommutingLarry @emmagf @railwaygazette @RailwayAge @lumintree… https://t.co/kjMYRqOlTd,0.0,0.0,1.0,0.0,90
91,@APTA_Transit,Mon Apr 09 19:45:14 +0000 2018,Join us for our next CUTR Transportation Webcast:  Understanding the Effects of Demographic and Socio-Economic Fact… https://t.co/WDtQTTxAg8,0.296,0.121,0.879,0.0,91
92,@APTA_Transit,Mon Apr 09 15:01:40 +0000 2018,@moovelUS launches FareShare transit benefits system at @APTA_Transit Conference. Take a look here: https://t.co/6MvaiUmoLt,0.382,0.178,0.822,0.0,92
93,@APTA_Transit,Mon Apr 09 14:57:55 +0000 2018,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,0.459,0.115,0.885,0.0,93
94,@APTA_Transit,Mon Apr 09 14:57:26 +0000 2018,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,0.459,0.115,0.885,0.0,94
95,@APTA_Transit,Mon Apr 09 14:54:14 +0000 2018,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,0.459,0.115,0.885,0.0,95
96,@APTA_Transit,Mon Apr 09 14:53:12 +0000 2018,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,0.459,0.115,0.885,0.0,96
97,@APTA_Transit,Mon Apr 09 14:49:52 +0000 2018,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,0.459,0.115,0.885,0.0,97
98,@APTA_Transit,Mon Apr 09 14:42:53 +0000 2018,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,0.459,0.115,0.885,0.0,98
99,@APTA_Transit,Mon Apr 09 13:01:39 +0000 2018,"#MondayMotivation According to @APTA_Transit, more than 50,731 jobs are created per $1 billion of investment in pub… https://t.co/Kuk5Bb1JrQ",0.25,0.105,0.895,0.0,99
100,@SFBart,Tue Apr 17 03:29:07 +0000 2018,"@tejasmanohar @SFBART If this is considered an achievement I need to hear about some others on your list, haha",0.459,0.15,0.85,0.0,0
101,@SFBart,Tue Apr 17 03:25:59 +0000 2018,"RT @SFBART: The BART Police Citizen Review Board is in the process of recruiting a public-at-large appointee.
Members of the BPCRB work to…",0.0,0.0,1.0,0.0,1
102,@SFBart,Tue Apr 17 02:53:34 +0000 2018,"When NYC subways flash flood and continue to run, yet a ballon or a gentle sprinkling basically shuts down the Bay. *side eye* @SFBART",0.44,0.121,0.879,0.0,2
103,@SFBart,Tue Apr 17 02:52:58 +0000 2018,@smdailyjournal One of the regional rail possibilities I remain interested in is re-engineering the @flySFO spur so… https://t.co/ciJ4x7Rw56,0.402,0.144,0.856,0.0,3
104,@SFBart,Tue Apr 17 02:45:25 +0000 2018,".@SFBART haikus:

It may induce rage
But at least it doesn't close
Before the game ends.

@wmata https://t.co/wHYCzU6SLJ",-0.557,0.0,0.825,0.175,4
105,@SFBart,Tue Apr 17 02:37:48 +0000 2018,Hey @SFBART there’s an arrivals display sign at Civic Center platform 2 tail end that’s been broken for some time. Any news on repairs?,-0.477,0.0,0.876,0.124,5
106,@SFBart,Tue Apr 17 02:31:48 +0000 2018,"RT @imanicezanne: Today at Lake Merrit BART station. 

“I told you what to do. You didn’t do it. You kept moving around. You’re under arres…",0.0,0.0,1.0,0.0,6
107,@SFBart,Tue Apr 17 02:29:08 +0000 2018,"@SFBART just got off the train in San Bruno (9-car train, arrived at 7:28 pm). There’s a man walking throughout the… https://t.co/boXfgLebc7",0.0,0.0,1.0,0.0,7
108,@SFBart,Tue Apr 17 02:28:53 +0000 2018,"RT @imanicezanne: Today at Lake Merrit BART station. 

“I told you what to do. You didn’t do it. You kept moving around. You’re under arres…",0.0,0.0,1.0,0.0,8
109,@SFBart,Tue Apr 17 02:22:45 +0000 2018,"RT @imanicezanne: Today at Lake Merrit BART station. 

“I told you what to do. You didn’t do it. You kept moving around. You’re under arres…",0.0,0.0,1.0,0.0,9
110,@SFBart,Tue Apr 17 02:17:43 +0000 2018,"RT @imanicezanne: Today at Lake Merrit BART station. 

“I told you what to do. You didn’t do it. You kept moving around. You’re under arres…",0.0,0.0,1.0,0.0,10
111,@SFBart,Tue Apr 17 02:17:41 +0000 2018,"RT @imanicezanne: Today at Lake Merrit BART station. 

“I told you what to do. You didn’t do it. You kept moving around. You’re under arres…",0.0,0.0,1.0,0.0,11
112,@SFBart,Tue Apr 17 02:06:06 +0000 2018,@SFBART just an observation from over the years. Everyone unfamiliar with Bart looks at the system map more than an… https://t.co/OW92ce7Wf2,0.0,0.0,1.0,0.0,12
113,@SFBart,Tue Apr 17 01:48:00 +0000 2018,"@SFBART All trains headed south move pretty slow between West Oakland and Lake Merritt. After all these years, Y (n… https://t.co/VBnitL4uOj",0.494,0.144,0.856,0.0,13
114,@SFBart,Tue Apr 17 01:47:50 +0000 2018,@SFBART when is the Antioch station going to open?,0.0,0.0,1.0,0.0,14
115,@SFBart,Tue Apr 17 01:46:54 +0000 2018,"RT @imanicezanne: Today at Lake Merrit BART station. 

“I told you what to do. You didn’t do it. You kept moving around. You’re under arres…",0.0,0.0,1.0,0.0,15
116,@SFBart,Tue Apr 17 01:46:09 +0000 2018,"@thisissmithj @SFBART Eventually consistent, I'm sure.",0.318,0.315,0.685,0.0,16
117,@SFBart,Tue Apr 17 01:39:55 +0000 2018,"RT @OracleArena: Heads up #DubNation! 🚨

There is a 7:05 pm @Athletics game at @OAColiseum tonight. 

Please arrive early or take @SFBART t…",0.38,0.115,0.885,0.0,17
118,@SFBart,Tue Apr 17 01:38:18 +0000 2018,"RT @OracleArena: Heads up #DubNation! 🚨

There is a 7:05 pm @Athletics game at @OAColiseum tonight. 

Please arrive early or take @SFBART t…",0.38,0.115,0.885,0.0,18
119,@SFBart,Tue Apr 17 01:36:20 +0000 2018,"RT @imanicezanne: Today at Lake Merrit BART station. 

“I told you what to do. You didn’t do it. You kept moving around. You’re under arres…",0.0,0.0,1.0,0.0,19
120,@SFBart,Tue Apr 17 01:33:17 +0000 2018,. @SFBART signs simultaneously announcing different trains on the same line. 🙄 https://t.co/U5K8Inm0j0,0.0,0.0,1.0,0.0,20
121,@SFBart,Tue Apr 17 01:30:16 +0000 2018,"RT @SFBART: The BART Police Citizen Review Board is in the process of recruiting a public-at-large appointee.
Members of the BPCRB work to…",0.0,0.0,1.0,0.0,21
122,@SFBart,Tue Apr 17 01:26:47 +0000 2018,@SFBART @RebeccaForBART Does one have to be a citizen to serve on the Review Board?,0.0,0.0,1.0,0.0,22
123,@SFBart,Tue Apr 17 01:22:16 +0000 2018,@SFBART I was standing at Powell and saw 4 hypodermic needles on the tracks. Wonder if you should issue a health ad… https://t.co/rVjJNa2PeD,0.0,0.0,1.0,0.0,23
124,@SFBart,Tue Apr 17 01:19:38 +0000 2018,WARRIORS!! #WARRIORS!! @WARRIORS!! @OracleArena #DubNation #LockIn #Game2 #Round1 #omw @SFBART 🤗 #GoDubs… https://t.co/XkWqe5bUc9,0.0,0.0,1.0,0.0,24
125,@SFBart,Tue Apr 17 01:05:03 +0000 2018,"@SFBART montegomery platform elevator 6pm. Looks like poop, smells like poop. Please take the elevator out of servi… https://t.co/yTEK4uoa1v",0.743,0.313,0.687,0.0,25
126,@SFBart,Tue Apr 17 01:00:06 +0000 2018,Avez-vous faim? Check out these cozy French bistro restaurants near @SFBART https://t.co/6Pq9YIegpJ https://t.co/i3JS3PLFZb,0.0,0.0,1.0,0.0,26
127,@SFBart,Tue Apr 17 00:56:38 +0000 2018,"RT @OracleArena: Heads up #DubNation! 🚨

There is a 7:05 pm @Athletics game at @OAColiseum tonight. 

Please arrive early or take @SFBART t…",0.38,0.115,0.885,0.0,27
